Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Ryan Rollins,MIL,56,30,26,14.6,6235.2,1.18,0.6,0.58,4.54,4.65,4.44,1.9,0.97,0.93,7.31,7.48,7.15,22,108.6,1.6,9.8,14.7,0.8,32.6,0.3,20.0,5.6,4.1,3.9,13.8,0.061,1.7,0.7,1.0,4.68,2.39,2.29
Julian Phillips,CHI,79,37,42,14.2,6204.9,1.18,0.6,0.58,4.62,4.98,4.3,1.9,0.97,0.93,7.44,8.01,6.92,21,111.1,1.3,8.2,12.6,0.5,21.0,0.3,18.0,5.4,4.6,3.7,15.3,0.048,1.9,1.0,0.8,4.82,2.46,2.36
Lindy Waters III,DET,52,27,25,15.0,6472.9,1.23,0.66,0.57,4.61,4.98,4.26,1.98,1.06,0.92,7.42,8.01,6.86,27,110.2,1.7,11.6,17.8,0.5,19.6,0.2,14.5,5.1,4.3,3.9,13.4,0.053,1.0,0.1,0.9,4.75,2.54,2.21
Trayce Jackson-Davis,GSW,62,33,29,15.6,6366.6,1.21,0.63,0.57,4.36,4.53,4.17,1.95,1.01,0.92,7.02,7.29,6.71,25,111.3,3.0,19.2,28.2,0.4,13.4,0.6,36.5,5.6,4.4,5.1,15.5,0.052,3.4,1.9,1.4,4.5,2.33,2.12
Jaden Hardy,DAL,57,30,27,15.9,6500.4,1.23,0.66,0.57,4.31,4.63,3.99,1.98,1.06,0.92,6.94,7.45,6.42,22,111.6,1.4,8.5,13.0,0.5,18.1,0.1,6.2,6.6,4.8,5.0,17.0,0.052,-0.3,-0.8,0.5,4.48,2.4,2.08
Kyle Anderson,MIA,61,30,31,16.4,6537.1,1.24,0.66,0.57,4.24,4.53,3.95,2.0,1.06,0.92,6.82,7.29,6.36,31,107.6,2.5,14.8,21.9,0.7,21.3,0.5,35.1,5.6,4.5,4.8,16.3,0.073,2.8,1.3,1.5,4.39,2.33,2.02
Jarace Walker,IND,75,45,30,15.8,6395.3,1.21,0.64,0.57,4.26,4.48,4.04,1.95,1.03,0.92,6.86,7.21,6.5,21,112.1,2.7,17.8,26.4,0.7,23.9,0.3,20.8,5.8,3.7,4.9,16.9,0.05,1.6,0.1,1.5,4.44,2.35,2.1
Jalen Smith,CHI,64,28,36,15.0,6232.3,1.18,0.62,0.56,4.38,4.88,3.94,1.9,1.0,0.9,7.05,7.85,6.34,25,111.5,4.2,24.1,37.1,0.3,11.2,0.7,35.8,5.7,5.1,4.3,16.2,0.05,2.9,1.7,1.3,4.56,2.4,2.16
Jonathan Isaac,ORL,71,35,36,15.3,6245.6,1.18,0.63,0.55,4.27,4.46,4.06,1.9,1.01,0.89,6.87,7.18,6.53,27,106.6,2.7,18.8,29.1,0.9,28.1,1.1,50.3,5.4,4.1,4.4,13.7,0.073,3.4,0.8,2.5,4.47,2.38,2.09
Gary Harris,ORL,48,28,20,14.8,6080.3,1.15,0.6,0.55,4.33,4.35,4.3,1.85,0.97,0.89,6.97,7.0,6.92,30,103.2,0.9,6.3,9.6,0.5,18.3,0.3,14.3,5.4,3.9,4.7,14.3,0.086,1.0,0.1,0.9,4.5,2.36,2.16
